"drugName","activeIngredients","fever","vomit","arthritis"
"A-HYDROCORT","HYDROCORTISONE SODIUM SUCCINATE",FALSE,FALSE,TRUE
"A-METHAPRED","METHYLPREDNISOLONE SODIUM SUCCINATE",FALSE,FALSE,TRUE
"A-POXIDE","CHLORDIAZEPOXIDE HYDROCHLORIDE",FALSE,FALSE,FALSE
"A.P.L.","GONADOTROPIN, CHORIONIC",FALSE,FALSE,FALSE
"A/T/S","ERYTHROMYCIN",FALSE,FALSE,FALSE
"ABACAVIR AND LAMIVUDINE","ABACAVIR;LAMIVUDINE",FALSE,FALSE,FALSE
"ABACAVIR SULFATE","ABACAVIR SULFATE",FALSE,FALSE,FALSE
"ABACAVIR SULFATE AND LAMIVUDINE","ABACAVIR SULFATE; LAMIVUDINE",FALSE,FALSE,FALSE
"ABACAVIR SULFATE, LAMIVUDINE AND ZIDOVUDINE","ABACAVIR SULFATE; LAMIVUDINE; ZIDOVUDINE",FALSE,FALSE,FALSE
"ABACAVIR SULFATE; LAMIVUDINE","ABACAVIR SULFATE; LAMIVUDINE",FALSE,FALSE,FALSE
"ABACAVIR; LAMIVUDINE","ABACAVIR;LAMIVUDINE",FALSE,FALSE,FALSE
"ABELCET","AMPHOTERICIN B",FALSE,FALSE,FALSE
"ABILIFY","ARIPIPRAZOLE",FALSE,FALSE,FALSE
"ABILIFY MAINTENA KIT","ARIPIPRAZOLE",FALSE,FALSE,FALSE
"ABILIFY MYCITE KIT","ARIPIPRAZOLE",FALSE,FALSE,FALSE
"ABIRATERONE ACETATE","ABIRATERONE ACETATE",FALSE,FALSE,FALSE
"ABITREXATE","METHOTREXATE SODIUM",FALSE,FALSE,FALSE
"ABLAVAR","GADOFOSVESET TRISODIUM",FALSE,FALSE,FALSE
"ABLYSINOL","ALCOHOL",FALSE,FALSE,FALSE
"ABRAXANE","PACLITAXEL",FALSE,FALSE,FALSE
"ABREVA","DOCOSANOL",FALSE,FALSE,FALSE
"ABRILADA","ADALIMUMAB-AFZB",FALSE,FALSE,FALSE
"ABSORICA","ISOTRETINOIN",FALSE,FALSE,FALSE
"ABSORICA LD","ISOTRETINOIN",FALSE,FALSE,FALSE
"ABSTRAL","FENTANYL CITRATE",FALSE,FALSE,FALSE
"ACAMPROSATE CALCIUM","ACAMPROSATE CALCIUM",FALSE,FALSE,FALSE
"ACANYA","BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE",FALSE,FALSE,FALSE
"ACARBOSE","ACARBOSE",FALSE,FALSE,FALSE
"ACCOLATE","ZAFIRLUKAST",FALSE,FALSE,FALSE
"ACCRETROPIN","SOMATROPIN",FALSE,FALSE,FALSE
"ACCRUFER","FERRIC MALTOL",FALSE,FALSE,FALSE
"ACCUNEB","ALBUTEROL SULFATE",FALSE,FALSE,FALSE
"ACCUPRIL","QUINAPRIL HYDROCHLORIDE",FALSE,FALSE,FALSE
"ACCURBRON","THEOPHYLLINE",FALSE,FALSE,FALSE
"ACCURETIC","HYDROCHLOROTHIAZIDE; QUINAPRIL HYDROCHLORIDE",FALSE,FALSE,FALSE
"ACCUTANE","ISOTRETINOIN",FALSE,FALSE,FALSE
"ACEBUTOLOL HYDROCHLORIDE","ACEBUTOLOL HYDROCHLORIDE",FALSE,FALSE,FALSE
"ACEON","PERINDOPRIL ERBUMINE",FALSE,FALSE,FALSE
"ACEPHEN","ACETAMINOPHEN",FALSE,FALSE,FALSE
"ACETADOTE","ACETYLCYSTEINE",FALSE,FALSE,FALSE
"ACETAMINOPHEN","ACETAMINOPHEN",FALSE,FALSE,FALSE
"ACETAMINOPHEN AND CODEINE PHOSPHATE","ACETAMINOPHEN; CODEINE PHOSPHATE",FALSE,FALSE,FALSE
"ACETAMINOPHEN AND HYDROCODONE BITARTRATE","ACETAMINOPHEN; HYDROCODONE BITARTRATE",FALSE,FALSE,FALSE
"ACETAMINOPHEN AND PENTAZOCINE HYDROCHLORIDE","ACETAMINOPHEN; PENTAZOCINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ACETAMINOPHEN, ASPIRIN AND CAFFEINE","ACETAMINOPHEN; ASPIRIN; CAFFEINE",FALSE,FALSE,FALSE
"ACETAMINOPHEN, ASPIRIN, AND CODEINE PHOSPHATE","ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE",FALSE,FALSE,FALSE
"ACETAMINOPHEN, CAFFEINE AND DIHYDROCODEINE BITARTRATE","ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE",FALSE,FALSE,FALSE
"ACETAMINOPHEN, CAFFEINE, AND DIHYDROCODEINE BITARTRATE","ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE",FALSE,FALSE,FALSE
"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ACETASOL","ACETIC ACID, GLACIAL",FALSE,FALSE,FALSE
"ACETASOL HC","ACETIC ACID, GLACIAL; HYDROCORTISONE",FALSE,FALSE,FALSE
"ACETATED RINGER'S IN PLASTIC CONTAINER","CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE",FALSE,FALSE,FALSE
"ACETAZOLAMIDE","ACETAZOLAMIDE",FALSE,FALSE,FALSE
"ACETAZOLAMIDE SODIUM","ACETAZOLAMIDE SODIUM",FALSE,FALSE,FALSE
"ACETIC ACID","ACETIC ACID, GLACIAL",FALSE,FALSE,FALSE
"ACETIC ACID 0.25% IN PLASTIC CONTAINER","ACETIC ACID, GLACIAL",FALSE,FALSE,FALSE
"ACETIC ACID 2% IN AQUEOUS ALUMINUM ACETATE","ACETIC ACID, GLACIAL; ALUMINUM ACETATE",FALSE,FALSE,FALSE
"ACETIC ACID W/ HYDROCORTISONE","ACETIC ACID, GLACIAL; HYDROCORTISONE",FALSE,FALSE,FALSE
"ACETOHEXAMIDE","ACETOHEXAMIDE",FALSE,FALSE,FALSE
"ACETYLCYSTEINE","ACETYLCYSTEINE",FALSE,FALSE,FALSE
"ACHES-N-PAIN","IBUPROFEN",FALSE,FALSE,FALSE
"ACHROMYCIN","TETRACYCLINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ACHROMYCIN V","TETRACYCLINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ACILAC","LACTULOSE",FALSE,FALSE,FALSE
"ACIPHEX","RABEPRAZOLE SODIUM",FALSE,FALSE,FALSE
"ACIPHEX SPRINKLE","RABEPRAZOLE SODIUM",FALSE,FALSE,FALSE
"ACITRETIN","ACITRETIN",FALSE,FALSE,FALSE
"ACLOVATE","ALCLOMETASONE DIPROPIONATE",FALSE,FALSE,FALSE
"ACTAHIST","PSEUDOEPHEDRINE HYDROCHLORIDE; TRIPROLIDINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ACTEMRA","TOCILIZUMAB",FALSE,FALSE,FALSE
"ACTH","CORTICOTROPIN",FALSE,FALSE,FALSE
"ACTHAR","CORTICOTROPIN",FALSE,FALSE,FALSE
"ACTHAR GEL","CORTICOTROPIN",FALSE,FALSE,FALSE
"ACTHREL","CORTICORELIN OVINE TRIFLUTATE",FALSE,FALSE,FALSE
"ACTICLATE","DOXYCYCLINE HYCLATE",FALSE,FALSE,FALSE
"ACTICLATE CAP","DOXYCYCLINE HYCLATE",FALSE,FALSE,FALSE
"ACTICORT","HYDROCORTISONE",FALSE,FALSE,FALSE
"ACTIDIL","TRIPROLIDINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ACTIFED","PSEUDOEPHEDRINE HYDROCHLORIDE; TRIPROLIDINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ACTIFED W/ CODEINE","CODEINE PHOSPHATE; PSEUDOEPHEDRINE HYDROCHLORIDE; TRIPROLIDINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ACTIGALL","URSODIOL",FALSE,FALSE,FALSE
"ACTIMMUNE","INTERFERON GAMMA-1B",FALSE,FALSE,FALSE
"ACTIN-N","NITROFURAZONE",FALSE,FALSE,FALSE
"ACTINEX","MASOPROCOL",FALSE,FALSE,FALSE
"ACTIQ","FENTANYL CITRATE",FALSE,FALSE,FALSE
"ACTISITE","TETRACYCLINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ACTIVASE","ALTEPLASE",FALSE,FALSE,FALSE
"ACTIVELLA","ESTRADIOL; NORETHINDRONE ACETATE",FALSE,FALSE,FALSE
"ACTONEL","RISEDRONATE SODIUM",FALSE,FALSE,FALSE
"ACTONEL WITH CALCIUM (COPACKAGED)","CALCIUM CARBONATE; RISEDRONATE SODIUM",FALSE,FALSE,FALSE
"ACTOPLUS MET","METFORMIN HYDROCHLORIDE; PIOGLITAZONE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ACTOPLUS MET XR","METFORMIN HYDROCHLORIDE; PIOGLITAZONE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ACTOS","PIOGLITAZONE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ACTRON","KETOPROFEN",FALSE,FALSE,FALSE
"ACULAR","KETOROLAC TROMETHAMINE",FALSE,FALSE,FALSE
"ACULAR LS","KETOROLAC TROMETHAMINE",FALSE,FALSE,FALSE
"ACULAR PRESERVATIVE FREE","KETOROLAC TROMETHAMINE",FALSE,FALSE,FALSE
"ACUTECT","TECHNETIUM TC-99M APCITIDE",FALSE,FALSE,FALSE
"ACUVAIL","KETOROLAC TROMETHAMINE",FALSE,FALSE,FALSE
"ACYCLOVIR","ACYCLOVIR",FALSE,FALSE,FALSE
"ACYCLOVIR IN SODIUM CHLORIDE 0.9% PRESERVATIVE FREE","ACYCLOVIR SODIUM",FALSE,FALSE,FALSE
"ACYCLOVIR SODIUM","ACYCLOVIR SODIUM",FALSE,FALSE,FALSE
"ACYLANID","ACETYLDIGITOXIN",FALSE,FALSE,FALSE
"ACZONE","DAPSONE",FALSE,FALSE,FALSE
"ADAGEN","PEGADEMASE BOVINE",FALSE,FALSE,FALSE
"ADAKVEO","CRIZANLIZUMAB-TMCA",FALSE,FALSE,FALSE
"ADALAT","NIFEDIPINE",FALSE,FALSE,FALSE
"ADALAT CC","NIFEDIPINE",FALSE,FALSE,FALSE
"ADAPALENE","ADAPALENE",FALSE,FALSE,FALSE
"ADAPALENE AND BENZOYL PEROXIDE","ADAPALENE; BENZOYL PEROXIDE",FALSE,FALSE,FALSE
"ADASUVE","LOXAPINE",FALSE,FALSE,FALSE
"ADBRY","TRALOKINUMAB",FALSE,FALSE,FALSE
"ADCETRIS","BRENTUXIMAB VEDOTIN",FALSE,FALSE,FALSE
"ADCIRCA","TADALAFIL",FALSE,FALSE,FALSE
"ADDERALL 10","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE",FALSE,FALSE,FALSE
"ADDERALL 12.5","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE",FALSE,FALSE,FALSE
"ADDERALL 15","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE",FALSE,FALSE,FALSE
"ADDERALL 20","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE",FALSE,FALSE,FALSE
"ADDERALL 30","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE",FALSE,FALSE,FALSE
"ADDERALL 5","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE",FALSE,FALSE,FALSE
"ADDERALL 7.5","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE",FALSE,FALSE,FALSE
"ADDERALL XR 10","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE",FALSE,FALSE,FALSE
"ADDERALL XR 15","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE",FALSE,FALSE,FALSE
"ADDERALL XR 20","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE",FALSE,FALSE,FALSE
"ADDERALL XR 25","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE",FALSE,FALSE,FALSE
"ADDERALL XR 30","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE",FALSE,FALSE,FALSE
"ADDERALL XR 5","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE",FALSE,FALSE,FALSE
"ADDYI","FLIBANSERIN",FALSE,FALSE,FALSE
"ADEFOVIR DIPIVOXIL","ADEFOVIR DIPIVOXIL",FALSE,FALSE,FALSE
"ADEMPAS","RIOCIGUAT",FALSE,FALSE,FALSE
"ADENOCARD","ADENOSINE",FALSE,FALSE,FALSE
"ADENOSCAN","ADENOSINE",FALSE,FALSE,FALSE
"ADENOSINE","ADENOSINE",FALSE,FALSE,FALSE
"ADHANSIA XR","METHYLPHENIDATE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ADIPEX-P","PHENTERMINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ADLYXIN","LIXISENATIDE",FALSE,FALSE,FALSE
"ADMELOG","INSULIN LISPRO",FALSE,FALSE,FALSE
"ADMELOG SOLOSTAR","INSULIN LISPRO",FALSE,FALSE,FALSE
"ADPHEN","PHENDIMETRAZINE TARTRATE",FALSE,FALSE,FALSE
"ADRENACLICK","EPINEPHRINE",FALSE,FALSE,FALSE
"ADRENALIN","EPINEPHRINE",FALSE,FALSE,FALSE
"ADREVIEW","IOBENGUANE SULFATE I-123",FALSE,FALSE,FALSE
"ADRIAMYCIN PFS","DOXORUBICIN HYDROCHLORIDE",FALSE,FALSE,FALSE
